Model,Accuracy,Precision,Sensitivity/Recall,Specificity,ROC AUC,Elapsed Time,Best Parameters
Random Forest,0.6178660049627791,0.546875,0.6104651162790697,0.6233766233766234,0.6627655290445987,13.64826512336731,"{'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}"
Decision Tree,0.5235732009925558,0.45901639344262296,0.6511627906976745,0.42857142857142855,0.5621916842847076,0.07995200157165527,"{'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10}"
XGBoost,0.6104218362282878,0.5336322869955157,0.6918604651162791,0.5497835497835498,0.6738648947951273,0.49001431465148926,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}"
Neural Network,0.6203473945409429,0.5463414634146342,0.6511627906976745,0.5974025974025974,0.6907278767743884,4.916139602661133,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant'}"
Logistic Regression,0.4441687344913151,0.41333333333333333,0.7209302325581395,0.23809523809523808,0.45429376824725665,0.06299924850463867,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
K-Nearest Neighbors,0.5831265508684863,0.5088495575221239,0.6686046511627907,0.5194805194805194,0.6231501057082454,0.07000184059143066,"{'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}"
AdaBoost,0.46898263027295284,0.4233576642335766,0.6744186046511628,0.31601731601731603,0.5391623879995973,2.4360508918762207,"{'learning_rate': 0.1, 'n_estimators': 150}"
Naive Bayes,0.5260545905707196,0.4577777777777778,0.5988372093023255,0.47186147186147187,0.5724856538810028,0.029006481170654297,{}
Bagging Classifier,0.630272952853598,0.5608465608465608,0.6162790697674418,0.6406926406926406,0.6605632739353668,1.0009632110595703,"{'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 30}"
Quadratic Discriminant Analysis,0.6377171215880894,0.5631067961165048,0.6744186046511628,0.6103896103896104,0.6993607168025773,0.0369722843170166,{}
Linear Discriminant Analysis,0.4441687344913151,0.41333333333333333,0.7209302325581395,0.23809523809523808,0.45429376824725665,0.040018558502197266,{}
